month,num_wkdayholminor,num_satholmajor,num_sun,weekdays,saturdays,sundays,dum_911_base,supersandy,summer_of_hell,end_close,mon,dummy_1,dummy_2,dummy_3,dummy_4,dummy_5,dummy_6,dummy_7,dummy_8,dummy_9,dummy_10,dummy_11,dummy_12
9/1/03,21,5,4,21,5,4,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0
10/1/03,23,4,4,23,4,4,1,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0
11/1/03,18,7,5,18,7,5,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0
12/1/03,22,5,4,22,5,4,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1
1/1/04,20,7,4,20,7,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2/1/04,19,5,5,19,5,5,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
3/1/04,23,4,4,23,4,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
4/1/04,22,4,4,22,4,4,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
5/1/04,20,6,5,20,6,5,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0
6/1/04,22,4,4,22,4,4,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0
7/1/04,21,6,4,21,6,4,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0
8/1/04,22,4,5,22,4,5,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0
9/1/04,21,5,4,21,5,4,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0
10/1/04,21,5,5,21,5,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0
11/1/04,20,6,4,20,6,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0
12/1/04,21,6,4,21,6,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1
1/1/05,20,6,5,20,6,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2/1/05,19,5,4,19,5,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
3/1/05,23,4,4,23,4,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
